"subject" "activity_label" "activity" "TimeBodyAccelerometerMean...X" "TimeBodyAccelerometerMean...Y" "TimeBodyAccelerometerMean...Z" "TimeBodyAccelerometerSTD...X" "TimeBodyAccelerometerSTD...Y" "TimeBodyAccelerometerSTD...Z" "TimeGravityAccelerometerMean...X" "TimeGravityAccelerometerMean...Y" "TimeGravityAccelerometerMean...Z" "TimeGravityAccelerometerSTD...X" "TimeGravityAccelerometerSTD...Y" "TimeGravityAccelerometerSTD...Z" "TimeBodyAccelerometerJerkMean...X" "TimeBodyAccelerometerJerkMean...Y" "TimeBodyAccelerometerJerkMean...Z" "TimeBodyAccelerometerJerkSTD...X" "TimeBodyAccelerometerJerkSTD...Y" "TimeBodyAccelerometerJerkSTD...Z" "TimeBodyGyroscopeMean...X" "TimeBodyGyroscopeMean...Y" "TimeBodyGyroscopeMean...Z" "TimeBodyGyroscopeSTD...X" "TimeBodyGyroscopeSTD...Y" "TimeBodyGyroscopeSTD...Z" "TimeBodyGyroscopeJerkMean...X" "TimeBodyGyroscopeJerkMean...Y" "TimeBodyGyroscopeJerkMean...Z" "TimeBodyGyroscopeJerkSTD...X" "TimeBodyGyroscopeJerkSTD...Y" "TimeBodyGyroscopeJerkSTD...Z" "TimeBodyAccelerometerMagnitudeMean.." "TimeBodyAccelerometerMagnitudeSTD.." "TimeGravityAccelerometerMagnitudeMean.." "TimeGravityAccelerometerMagnitudeSTD.." "TimeBodyAccelerometerJerkMagnitudeMean.." "TimeBodyAccelerometerJerkMagnitudeSTD.." "TimeBodyGyroscopeMagnitudeMean.." "TimeBodyGyroscopeMagnitudeSTD.." "TimeBodyGyroscopeJerkMagnitudeMean.." "TimeBodyGyroscopeJerkMagnitudeSTD.." "FrequencyBodyAccelerometerMean...X" "FrequencyBodyAccelerometerMean...Y" "FrequencyBodyAccelerometerMean...Z" "FrequencyBodyAccelerometerSTD...X" "FrequencyBodyAccelerometerSTD...Y" "FrequencyBodyAccelerometerSTD...Z" "FrequencyBodyAccelerometerMeanFreq...X" "FrequencyBodyAccelerometerMeanFreq...Y" "FrequencyBodyAccelerometerMeanFreq...Z" "FrequencyBodyAccelerometerJerkMean...X" "FrequencyBodyAccelerometerJerkMean...Y" "FrequencyBodyAccelerometerJerkMean...Z" "FrequencyBodyAccelerometerJerkSTD...X" "FrequencyBodyAccelerometerJerkSTD...Y" "FrequencyBodyAccelerometerJerkSTD...Z" "FrequencyBodyAccelerometerJerkMeanFreq...X" "FrequencyBodyAccelerometerJerkMeanFreq...Y" "FrequencyBodyAccelerometerJerkMeanFreq...Z" "FrequencyBodyGyroscopeMean...X" "FrequencyBodyGyroscopeMean...Y" "FrequencyBodyGyroscopeMean...Z" "FrequencyBodyGyroscopeSTD...X" "FrequencyBodyGyroscopeSTD...Y" "FrequencyBodyGyroscopeSTD...Z" "FrequencyBodyGyroscopeMeanFreq...X" "FrequencyBodyGyroscopeMeanFreq...Y" "FrequencyBodyGyroscopeMeanFreq...Z" "FrequencyBodyAccelerometerMagnitudeMean.." "FrequencyBodyAccelerometerMagnitudeSTD.." "FrequencyBodyAccelerometerMagnitudeMeanFreq.." "FrequencyBodyAccelerometerJerkMagnitudeMean.." "FrequencyBodyAccelerometerJerkMagnitudeSTD.." "FrequencyBodyAccelerometerJerkMagnitudeMeanFreq.." "FrequencyBodyGyroscopeMagnitudeMean.." "FrequencyBodyGyroscopeMagnitudeSTD.." "FrequencyBodyGyroscopeMagnitudeMeanFreq.." "FrequencyBodyGyroscopeJerkMagnitudeMean.." "FrequencyBodyGyroscopeJerkMagnitudeSTD.." "FrequencyBodyGyroscopeJerkMagnitudeMeanFreq.."
1 "WALKING" 1 2.61590964495677 6878.14985590778 6707.38904899135 6418.99423631124 7553.57925072046 6951.23342939481 6445.08069164265 6532.23631123919 6811.23631123919 6811.76945244957 6605.55619596542 6487.47550432277 -4.49580985504323 6457.25936599424 6739.02593659942 6128.5590778098 6638.67723342939 6214.51296829971 6542.36599423631 6723.5590778098 6604.5878962536 6642.85590778098 6635.30259365994 6681.40345821326 1.65645953198847 6534.88472622478 6542.08357348703 6602.49855907781 6673.81268011527 6146.89625360231 6822.84149855908 6530.71469740634 6547.21613832853 6694.3083573487 6705.50720461095 6316.84438040346 0.0854444841365706 -0.380731541498559 6707.30259365994 6564.59365994236 6567.85590778098 6473.19884726225 6484.24783861671 6805.12391930836 6772.87031700288 0.652757267342939 6326.91354466859 6549.16714697406 6422.82132564842 4518.59365994236 5972.79250720461 6635.84726224784 6359.02017291066 6264.36023054755 6126.27377521614 6976.27377521614 7092.20461095101 6563.19020172911 5296.04322766571 5539.12391930836 5922.48991354467 6662.43515850144 6413.83573487032 6255.16426512968 6189.79538904899 6331.4265129683 6997.24783861671 4097.47838616715 4990.20749279539 -8.99000050893372 5217.62824207493 5476.87319884726 5778.91066282421 -9.69547360432277 6062.53025936599 6433.9855907781 6857.40922190202 0.789963748731988 6444.94524495677
2 "WALKING" 1 2.79756458278146 1434.23841059603 1466.12582781457 1503.40728476821 1807.74503311258 1756.31125827815 1472.78145695364 1535.35761589404 1494.54966887417 1562.73178807947 1348.80463576159 1627.25165562914 -4.93386379536424 1462.39072847682 1590.15231788079 1487.97682119205 1471.67549668874 1409.32119205298 1510.24834437086 1395.17880794702 1447.79139072848 1515.76158940397 1533.20529801325 1421.77483443709 1.82051993741722 1564.19536423841 1435.50993377483 1589.94701986755 1613.02317880795 1566.68543046358 1432.34105960265 1394.3178807947 1392.22516556291 1528.20198675497 1417.04304635762 1485.68874172185 0.0904740107192053 -0.541798062582781 1443.31125827815 1523.74834437086 1511.7119205298 1438.86754966887 1490.00331125828 1464.10264900662 1511.05629139073 0.74263009407947 1410.32119205298 1467.49006622517 1548.70198675497 1233.85099337748 1454.32781456954 1455.14569536424 1472.80132450331 1488.60927152318 1436.7582781457 1744.89072847682 1568.20198675497 1417.31456953642 1451.10927152318 1393.92715231788 1420.56291390728 1516.11589403974 1492.62913907285 1454.22185430464 1498.88079470199 1523.56622516556 1361.4701986755 1170.29470198675 1327.74503311258 -9.53150430629139 1451.6059602649 1432.66225165563 1300.30132450331 -9.75082338708609 1472.34105960265 1503.99006622517 1555.62913907285 0.796551107816556 1472.57284768212
3 "WALKING" 1 2.78219375190616 6763.62756598241 6847.64809384164 6444.80938416422 6188.23753665689 6639.73313782991 6758.18181818182 6489.05278592375 6764.97947214076 6621.71260997067 7204.04398826979 6487.96774193548 -5.25835579090909 6611.37243401759 6855.44574780059 6648.39589442815 6476.03519061584 6514.11143695015 6660.49853372434 6637.17595307918 6922.20821114369 6626.61876832845 6851.40762463343 6598.06158357771 2.23892526979472 6492.02346041056 6355.32258064516 6387.70381231672 6978.09677419355 6312.87390029326 6742.63049853372 6519.28739002933 6142.9853372434 6589.41935483871 6533.43695014663 6104.56011730205 0.0566239901573607 -0.666683980938416 6621.97653958944 6651.5219941349 6552.31671554252 6751.61583577713 6632.14076246334 6724.48973607038 6167.49560117302 0.80366136372434 6001.28152492669 6704.74193548387 6475.81524926686 4745.31085043988 6187.85923753666 6168.67741935484 6004.16715542522 6237.44574780059 6166.21407624633 6674.60703812317 5876.81524926686 6676.88856304985 5588.92961876833 5586.56304985337 5938.11436950147 6187.46627565982 5990.94721407625 6152.72727272727 6252.9853372434 6447.77126099707 5909.59824046921 4196.22580645161 5204.40175953079 -9.78537982082111 6193.42521994135 6139.8651026393 6005.31964809384 -9.8163239941349 6584.19941348974 6707.76246334311 6336.33137829912 0.846495123304985 6530.6862170088
4 "WALKING" 1 2.8308537128866 1600.23711340206 1559.21649484536 1436.17525773196 1162.97422680412 1444.07216494845 1517.67525773196 1434.59278350515 1441.36082474227 1539.5618556701 1448.70618556701 1470.18041237113 -5.62609771907217 1643.30927835052 1271.25257731959 1262.06701030928 1391.62886597938 1501.90206185567 1465.11855670103 1533.22164948454 1553.87113402062 1345.84020618557 1430.13917525773 1440.91237113402 2.70052461546392 1300 1581.87113402062 1285.5824742268 1546.14948453608 1509.67525773196 1485.85567010309 1581.9587628866 1393.14948453608 1474.94329896907 1470.15463917526 1359.65463917526 -0.0181418347559278 -1.02490492628866 1467.32989690722 1428.74226804124 1439.89690721649 1457.32474226804 1448.36597938144 1485.65979381443 1421.81958762887 0.870579517938144 1397.66494845361 1493.92783505155 1373.35567010309 1389.19587628866 1416.04639175258 1371.39690721649 1385.52577319588 1327.75257731959 1404.01546391753 1468.65979381443 1238.91237113402 1490.04639175258 1362.57731958763 1414.58762886598 1360.48969072165 1355.60309278351 1308.20618556701 1438.95360824742 1381.71134020619 1563.86082474227 1339.45360824742 1278.74226804124 1324.57216494845 -9.90666523814433 1784.42783505155 1716.00515463918 1431.98969072165 -9.82797742938144 1570.51030927835 1457.23195876289 1402.84536082474 0.889710737061856 1487.01030927835
5 "WALKING" 1 2.8238236115894 6951.80463576159 6746.97682119205 6636.47682119205 7102.16556291391 6204.11920529801 6659.04304635762 6587.48675496689 6510.62251655629 6788.29470198676 6484.83112582781 6571.65894039735 -4.50647211523179 5989.76158940397 5986.01655629139 6305.28476821192 6538.11920529801 6452.48675496689 6629.24503311258 6495.79470198676 6669.10264900662 6443.48675496689 6704.38410596026 6600.5761589404 2.52932451854305 6231.70529801324 6451.8178807947 6642.16556291391 7236.9238410596 6616.19536423841 6659.83112582781 6680.96688741722 6849.18543046358 6793.22516556291 6708.61589403974 6752.99006622517 0.053124321057149 -0.572949091390728 6642.99006622517 6671.98013245033 6535.53973509934 6509.53311258278 6579.16225165563 6506.97350993377 5805.10264900662 0.734187493344371 6590.37417218543 6495.49006622517 6574.2119205298 4483.45695364238 6042.33774834437 6375.87086092715 5745.88410596026 5930.18543046358 6116.00993377483 7015.22516556291 6110.28145695364 6459.05960264901 5539.52317880795 5709.1059602649 5914.54635761589 5766.17549668874 5703.76821192053 5979.61589403974 5847.83443708609 5842.72516556291 6010.69867549669 4463.83443708609 5076.44370860927 -9.68404083509934 5509.2880794702 5854.42715231788 5602.92715231788 -9.63089920331126 6101.89072847682 6421.69867549669 6310.67218543046 0.783025146321192 6448.06953642384
6 "WALKING" 1 2.82202208559322 6346.56779661017 6673.49576271186 6406.05508474576 6896.46186440678 5919.24152542373 6773.61016949153 6675.00847457627 6491.48728813559 6912.20338983051 7161.35169491525 6623.75 -4.73711064533898 6342.6186440678 6565.53389830509 6898.94915254237 6771.59745762712 6957.25 6647.09322033898 6564.02966101695 6483.65677966102 6862.1779661017 6603.69915254237 6676.35593220339 2.96684117584746 6040.84322033898 6907.42372881356 6440.99576271186 7179.3220338983 7199.0593220339 6345.48305084746 6701.64830508475 6435.6906779661 6439.54661016949 6743.90677966102 6378.52542372881 0.0328037087978814 -0.406566059322034 6742.20762711864 6923.51694915254 6799.25 6387.02966101695 6794.02118644068 6806.8093220339 5674.15677966102 0.79820274690678 6766.75847457627 6360.52118644068 6728.42372881356 4555.6313559322 6079.75423728814 6047.11016949153 5957.58898305085 6324.56355932203 6481.6186440678 6636.51694915254 6520.8686440678 6629.52966101695 5461.41525423729 5357.16949152542 5735.91101694915 6056.60169491525 6188.72881355932 6314.68220338983 6296.02966101695 6060.4279661017 6373.03813559322 4490.9279661017 5233.45762711864 -9.71725828177966 5865.34322033898 6043.80508474576 6148.10593220339 -9.78348416059322 6497.47033898305 6497.58474576271 6177.87711864407 0.826116688744068 6574.08050847458
4 "WALKING_UPSTAIRS" 2 2.74162921463415 1506.46341463415 1481.43089430894 1468.67479674797 1423.55284552846 1876.52032520325 1416.19512195122 1290.13008130081 1402.9674796748 1482.17073170732 1327.65040650407 1077.06504065041 -5.86518581463415 1727.54471544715 1083.34959349593 1217.59349593496 1462.50406504065 1285.94308943089 1514.65040650407 1536.36585365854 1426.92682926829 1568.28455284553 1603.13821138211 1437.42276422764 2.5997080504065 1356.07317073171 1678.38211382114 1517.92682926829 1578.9593495935 1557.56097560976 1492.9674796748 1496.52845528455 1695.0243902439 1545.16260162602 1635.78861788618 1467.47154471545 -0.00438647533495935 -0.286510404878049 1432.38211382114 1406.47967479675 1559.52032520325 1507.06504065041 1514.9918699187 1478.60975609756 1383.27642276423 0.802559941951219 1240.41463414634 1467.06504065041 1452.44715447154 1303.74796747967 1297.94308943089 1541.62601626016 1135.13008130081 1207.44715447154 1160.45528455285 1704.21951219512 1187.85365853659 1593.67479674797 1391.56910569106 1546.69918699187 1468.62601626016 1324.0243902439 1107.39837398374 1176.91056910569 1145.15447154472 1518.9674796748 1185.57723577236 1251.67479674797 1383.50406504065 -9.88815184715447 1650.0325203252 1594.51219512195 1126.78861788618 -9.8469159195122 1489.86178861789 1482.77235772358 1320.42276422764 0.799764961056911 1434.26016260163
6 "WALKING_UPSTAIRS" 2 2.80179098426966 7660.07865168539 7262.01123595506 6666.03370786517 8956.88764044944 4504.08988764045 6851.94382022472 6752.23595505618 6399.55056179775 6765.57303370786 6588.19101123595 6533.89887640449 -1.03202508988764 5256.24719101124 7598.98876404494 7290.05617977528 6749.7191011236 5342.85393258427 6493.5393258427 6733.43820224719 6440.87640449438 6493.5393258427 6904.55056179775 6690.13483146067 3.40952655730337 5823.75280898876 6832.94382022472 6941.73033707865 7920.24719101124 6004.42696629214 6443.62921348315 6703.7191011236 6343.61797752809 6714.73033707865 7093.65168539326 7494.06741573034 -0.053742880752809 -0.0736535820224719 6116.21348314607 6806.6404494382 6907.92134831461 6777.51685393258 6267.4606741573 6444.11235955056 5362.91011235955 0.317030152119775 6260.42696629214 6988.31460674157 6834.69662921348 5339.20224719101 5910.30337078652 6231.61797752809 4945.26966292135 4891.30337078652 5053.4606741573 6120.42696629214 7273.59550561798 7196.39325842697 5962.1797752809 5915.21348314607 6157.67415730337 5773.62921348315 5101.34831460674 4903.10112359551 7140.76404494382 7550.97752808989 7801.5393258427 4291.15730337079 4809.83146067416 -8.27377504719101 3728.48314606742 4243.76404494382 4588.19101123595 -9.20331145168539 5009.8202247191 6556.15730337079 5824.22471910112 0.529077733926966 6823.11235955056
7 "WALKING_UPSTAIRS" 2 2.75329629545455 6796.52922077922 6940.92857142857 6433.34415584416 5758.27922077922 6372.1525974026 6495.99350649351 6357.82467532467 6523.02272727273 6458.88311688312 6536.63311688312 6589.92857142857 -5.27455680064935 7194.33441558442 6584.3474025974 6877.28246753247 6814.98051948052 6505.32142857143 6808.9448051948 6842.20779220779 6446.17857142857 6585.11688311688 6554.16883116883 6753.66883116883 2.56990726785714 6274.56818181818 6931.73051948052 6481.18181818182 7025.83766233766 6318.28246753247 6804.27272727273 6762.66558441558 5849.06168831169 6552.93506493507 6928.11688311688 6297.12012987013 0.0155946595167532 -0.236864096428571 6508.69155844156 6540.53571428571 6679.01948051948 6872.85714285714 6554.50324675325 6770.31168831169 6324.01948051948 0.674196293883442 6156.72077922078 6534.25324675325 6673.0974025974 4862.9448051948 6054.6038961039 6124.77597402597 6308.18831168831 6427.53246753247 6280.38961038961 5708.17857142857 6265.27272727273 6335.55844155844 5334.28246753247 5610.31818181818 5640.03571428571 6468.75 6557.58116883117 6381.74350649351 5941.77272727273 5930.63961038961 6690.95454545455 4166.99350649351 5168.68506493507 -9.06686801006494 5511.76948051948 5477.61038961039 6171.56168831169 -9.71224958766234 6426.6038961039 6582.62662337662 6140.45454545455 0.77560943686039 6497.55844155844
8 "WALKING_UPSTAIRS" 2 2.73683016797153 6757.43416370107 6625.81494661922 6643.49822064057 7907.0462633452 7019.84697508897 6668.9537366548 6656.69395017794 6547.67971530249 6375.42704626334 6576.01779359431 6841.35231316726 -4.82167249003559 6505.35943060498 6572.92882562278 6598.86476868327 6385.00711743772 6636.42348754448 6507.79715302491 6690.3024911032 6409.48754448399 6371.39857651246 6795.56583629893 6519.50533807829 1.47566080818505 6654.97153024911 6842.49110320285 6658.36298932384 6455.02135231317 6495.16725978648 6634.03202846975 6646.23487544484 7594.46975088968 6770.85765124555 6526.03202846975 7421.62277580071 0.0972804665615658 -1.69003243629893 6652.0640569395 6521.0462633452 6701.31316725979 6831.42704626334 6686.82206405694 6609.48042704626 6667.85053380783 0.720033346128114 7124.59430604982 6709.16014234875 6583.01779359431 4713.20284697509 6162.66548042705 6779.20996441281 6606.75088967972 6666.64056939502 6510.2206405694 6729.54804270463 7031.3024911032 6543.53380782918 5278.33451957295 5202.82206405694 5915.55160142349 6607.06761565836 6639.53380782918 6616.32384341637 6956.85409252669 7397.5871886121 7971.02846975089 3917.34163701068 4750.92170818505 -9.06590502989324 5676.2206405694 5608.05338078292 6147.1103202847 -9.12823861601423 6612.53380782918 6577.59786476868 6559.97153024911 0.797089919701068 6508.54448398577
